page_id,url,canonical,page_type,parent,primary_intent,primary_keyword,secondary_cluster,board,year,unique_value,required_source,source_status,freshness_class,indexation,schema,internal_link_parents,internal_link_children,batch,content_status,technical_status,notes
board-rawalpindi,/results/rawalpindi-board/12th-class,self,result-board,result-hub,result.board,rawalpindi board 12th class result,rawalpindi board 2nd year result,rawalpindi-board,evergreen,"Name search exists (privacy note); best rechecking documentation in Punjab",derived,verified,A,index after review,"WebPage,BreadcrumbList",result-hub,"recheck-rawalpindi",2,proposed,PLANNED,"Registry correction pending: supportsName -> verified-supported. Document, do not promote."
board-sargodha,/results/sargodha-board/12th-class,self,result-board,result-hub,result.board,sargodha board 12th class result,sargodha board 2nd year result,sargodha-board,evergreen,"B-Form required - warn before the reader leaves",derived,verified,A,index after review,"WebPage,BreadcrumbList",result-hub,-,2,proposed,PLANNED,"Best official-API candidate technically."
board-bahawalpur,/results/bahawalpur-board/12th-class,self,result-board,result-hub,result.board,bahawalpur board 12th class result,bahawalpur board 2nd year result,bahawalpur-board,evergreen,"Separate routes per session; B-Form/CNIC; CAPTCHA; www cert mismatch",derived,verified,A,index after review,"WebPage,BreadcrumbList",result-hub,"recheck-bahawalpur",2,proposed,PLANNED,"Highest outage risk nationally - documented >1hr failure."
board-sahiwal,/results/sahiwal-board/12th-class,self,result-board,result-hub,result.board,sahiwal board 12th class result,sahiwal board 2nd year result,sahiwal-board,evergreen,"Cleanest portal; gazette page is a statistics sheet, not a candidate gazette",derived,verified,A,index after review,"WebPage,BreadcrumbList",result-hub,"recheck-sahiwal",2,proposed,PLANNED,"Only direct-integration candidate, permission-conditional."
board-dg-khan,/results/dg-khan-board/12th-class,self,result-board,result-hub,result.board,dg khan board 12th class result,dera ghazi khan board result,dg-khan-board,evergreen,"Per-session link directory; no 2026 link existed at check time; manual rechecking only",derived,conflicting,A,index after review,"WebPage,BreadcrumbList",result-hub,"recheck-dg-khan",3,proposed,PLANNED,"SLUG SAFETY: never abbreviate D.I. Khan near this slug. Re-verify the results page."
board-hyderabad,/results/hyderabad-board/12th-class,self,result-board-groupwise,result-hub,result.board,hyderabad board 12th class result,biseh hsc part 2 result,hyderabad-board,evergreen,"Per-group publication with NO dates printed by the board",derived,verified,A,index after review,"WebPage,BreadcrumbList",result-hub,-,3,proposed,PLANNED,"Correct host is biseh.edu.pk; the federally-listed domain has an expired certificate."
board-mirpur,/results/mirpur-board/12th-class,self,result-board,result-hub,result.board,ajk board 12th class result,ajk bise hssc part 2 result,mirpur-board,evergreen,"Gazette is the verified route; online form is blocked",derived,partial,A,index after review,"WebPage,BreadcrumbList",result-hub,"gazette-mirpur",3,proposed,PLANNED,"NEVER link hsscresult.ajkbise.net - it is a hosting default page."
board-kpk-pattern,/results/<kpk-board>/12th-class,self,result-board,result-hub,result.board,<board> 12th class result,<board> 2nd year result,"abbottabad|swat|dera-ismail-khan|malakand|bannu|mardan|peshawar",evergreen,"Abbottabad/Swat/D.I.Khan have the deepest selectors; Bannu has a confirmed CAPTCHA; Peshawar/Mardan rotate sessions",derived,verified,A,index after review,"WebPage,BreadcrumbList",result-hub,"recheck-mardan,recheck-bannu",3,proposed,PLANNED,"Pattern row for 7 verified boards. NO KPK board publishes a gazette."
board-blocked,"(none)",-,result-board,result-hub,result.board,-,-,"faisalabad|federal|kohat",-,"Route unconfirmed - hosts WAF-block automated checks",derived,BLOCKED,A,NOT BUILT,-,-,-,4,blocked,BLOCKED,"No page ships until a human verifies with an ordinary browser. Registered as planned only."
board-sindh-weak,"(none)",-,result-board,result-hub,result.board,-,-,"sukkur|shaheed-benazirabad|mirpurkhas|larkana",-,"Sukkur has NO result route; SBA site 503; two others pattern-probed only",derived,"partial/UNVERIFIED",A,NOT BUILT,-,-,-,4,blocked,BLOCKED,"Larkana is fully chained and may qualify first. Others need re-verification."
gazette-hub,/gazettes/12th-class,self,gazette-hub,result-hub,gazette.head,12th class gazette,"hssc gazette pdf; 2nd year gazette",-,-,"Board x session x year matrix; current-year queries return mostly 9th/10th/11th today",direct,verified,B,index,"WebPage,BreadcrumbList",result-hub,"per-board gazettes,gazette-archive",2,proposed,PROPOSED,"For gazette-only boards this is the ONLY official route, not a fallback."
gazette-archive,/gazettes/12th-class/archive,self,gazette-archive,gazette-hub,gazette.archive,old 12th class gazette,previous year hssc gazette,-,historical,"The one gazette surface where board domains themselves rank",direct,verified,D,index,"WebPage,BreadcrumbList",gazette-hub,-,3,proposed,PROPOSED,"Link, never host, until redistribution rights are established."
gazette-board-pattern,/gazettes/<board-slug>,self,gazette-board,gazette-hub,gazette.board,<board> 12th class gazette,<board> hssc gazette,"gujranwala|multan|sahiwal|quetta|mirpur|karachi|hyderabad|zueb",-,"Only where that board genuinely publishes a Part-II gazette",direct,"verified for 8",B,index,"WebPage,DigitalDocument",gazette-hub,-,2,proposed,PROPOSED,"8 boards qualify. A statistics sheet is labelled as what it is, not as a gazette."
recheck-board-pattern,/guides/rechecking/<board-slug>,self,guide-board,guide-rechecking,post.rechecking.board,<board> rechecking fee,<board> re-totalling,"gujranwala|rawalpindi|lahore|sahiwal|dg-khan|bahawalpur",-,"Per-board fee, deadline, mode, refund rule - each with source and checked date",direct,"VERIFIED for 6",B,index,"WebPage,BreadcrumbList",guide-rechecking,-,1,proposed,PROPOSED,"Only 6 boards have real figures. One board publishes THREE conflicting official fees - show the conflict."
guide-second-annual,/guides/second-annual,self,guide,result-hub,post.second-annual,second annual exam 12th class,"supplementary exam hssc; 2nd annual result",-,-,"Owns BOTH vocabularies; compartment rules from statutory text; no Part-I supplementary exists",direct,"VERIFIED statutory",B,index,"WebPage,Article,BreadcrumbList",result-hub,guide-improvement,1,proposed,PROPOSED,"Second annual and supplementary are the SAME exam under two words."
guide-improvement,/guides/improvement,self,guide,guide-second-annual,post.improvement,improvement of marks 12th class,hssc improvement exam,-,-,"Better-of-two rule; no grace marks; must precede any higher exam",direct,"VERIFIED with supersession caveat",B,index,"WebPage,Article,BreadcrumbList",guide-second-annual,-,2,proposed,PROPOSED,"CAUTION: one-chance-within-one-year may be superseded. One board's ban applies to PROFESSIONAL exams, not HSSC."
guide-dmc,/guides/result-card-dmc,self,guide,result-hub,post.dmc,12th class dmc,"result card; duplicate dmc",-,-,"Near-zero legitimate coverage; hazard-aware guidance",direct,partial,C,index,"WebPage,Article,BreadcrumbList",result-hub,-,2,proposed,PROPOSED,"HAZARD: this surface contains card generators and students' scanned documents. Guidance only - never a generator, never a hosted document."
guide-admissions,/guides/after-12th-admissions,self,guide,result-hub,post.admissions,university admission after 12th,merit list after intermediate,-,-,"Tethered to result, DMC and aggregate - not a careers blog",direct,partial,C,index,"WebPage,Article,BreadcrumbList",result-hub,tool-percentage,4,conditional,CONDITIONAL,"Boundary rule binds. Higher-education regulator does not rank."
board-hub-pattern,/boards/<board-slug>,self,board-hub,boards,board.hub,<board> board,<board> bise,various,-,"Institutional: jurisdiction, contact, notices - ONLY if distinct from the result page",derived,verified,C,conditional,"WebPage,BreadcrumbList",boards,"board result page",4,conditional,CONDITIONAL,"Merge into the result page unless it carries genuinely separate value."
updates,/updates,self,update-index,home,updates.index,board notifications 12th class,hssc notification 2026,-,-,"Source-gated: only board-published notifications, each linked",direct,verified,A,conditional,"WebPage",home,-,4,conditional,CONDITIONAL,"Only if genuinely maintained. A stale updates feed is worse than none."
board-session-pattern,/results/<board-slug>/12th-class/<year>,self,result-board-session,"board page",result.board.session,<board> result <year>,<board> hssc result <year>,various,past,"GATE: needs 2 of - verified declared date, board gazette, verified statistics, session-specific method",direct,varies,D,"durable value only","WebPage,BreadcrumbList","board page",-,4,gated,GATED,"This gate is what prevents 28 boards x N years of thin permutations."
search,/search,-,internal-search,-,-,-,-,-,-,"Site utility",none,n/a,D,NOINDEX,none,-,-,3,n/a,PROPOSED,"Never indexable; already disallowed in robots."
rejected-sms,"(none)",-,sms-method,-,method.sms,12th class result by sms,<board> sms code,-,-,"BLOCKED - zero shortcodes verified nationally",direct,NONE,A,NOT BUILT,none,-,-,-,rejected,BLOCKED,"9+ circulating codes contradict each other. A regression test asserts none appears in output."
rejected-name,"(none)",-,name-lookup,-,method.name,12th class result by name,result by student name,-,-,"REJECTED - most boards do not offer it; where it exists it is an enumeration risk",n/a,n/a,A,NOT BUILT,none,-,-,-,rejected,REJECTED,"Documented as a board fact; never built as a promise."
rejected-position,"(none)",-,position-holders,-,result.position-holders,12th class position holders 2026,board toppers 2026,-,2026,"REJECTED - no official source exists",direct,NONE,A,NOT BUILT,none,-,-,-,rejected,REJECTED,"Publishing would mean copying an unverified competitor list."
rejected-verification,"(none)",-,certificate-verification,-,post.verification,ibcc certificate verification,hssc attestation equivalence,-,-,"REJECTED - the official body owns its own intent",n/a,n/a,C,NOT BUILT,none,-,-,-,rejected,REJECTED,"Route to the official service instead of competing for it."
rejected-entrytest,"(none)",-,entry-test-calculator,-,post.entrytest,mdcat aggregate calculator,ecat aggregate calculator,-,-,"REJECTED - crowded, settled formula, established tools",n/a,n/a,B,NOT BUILT,none,-,-,-,rejected,REJECTED,"Weightings change by institution and cycle; maintaining them is a liability."
rejected-group-punjab,"(none)",-,group-page,result-hub,result.group.punjab,fsc part 2 result,"fa part 2 result; ics part 2 result; icom part 2 result",-,-,"NO CANONICAL OWNER - Punjab boards have no group field and declare all groups at once",direct,verified,B,NOT BUILT,none,-,-,-,gated,GATED,"Gate: needs subject list, marks distribution, grading and pathways from a scheme of studies. Never target bare 'FA result' or 'ICS result'."
prohibited-personal,"(none)",-,personal-result,-,-,-,-,-,-,"NEVER A URL",n/a,n/a,n/a,NEVER,none,-,-,-,prohibited,PROHIBITED,"No /result/<roll-number> route, ever. POST-only, no-store, noindex, never in a sitemap."
