proposed_url,page_family,parent,primary_keyword,secondary_cluster,search_intent,target_entity,board,year,user_task,unique_value,primary_source_required,source_availability,freshness_class,schema_candidate,indexation,priority,cannibalization_risk,evidence_status,notes
/gazettes/12th-class/<board>,gazette-board,/gazettes/12th-class,<board> 12th class gazette,<board> hssc gazette,Direct lookup via document,Gazette,various,-,"Find this board's gazette","Only where that board genuinely publishes a Part-II gazette",Yes,"Verified for 8 boards",B,"WebPage, DigitalDocument",index,Tier 2,Medium,PROPOSED,"Verified: Gujranwala, Multan (historical), Sahiwal (stats), Quetta, AJK, BIEK, Hyderabad, ZUEB. NO KPK board publishes one."
/guides/rechecking,guide,/results/12th-class,12th class rechecking,"hssc rechecking; re-evaluation; re-totalling",Post-result dispute,Rechecking,-,-,"Decide whether to apply and know what it does","FIRST sourced per-board rechecking reference in Pakistan; explains re-marking is NOT done",Yes,"VERIFIED - primary documents",B,"WebPage, BreadcrumbList",index,Tier 1,Low,PROPOSED,"HIGHEST-VALUE GAP. Every engine returns Indian content. We hold board-published fees and statutory rules."
/guides/rechecking/<board>,guide-board,/guides/rechecking,<board> rechecking fee,<board> re-totalling,Post-result dispute,Rechecking,various,-,"Know this board's fee, window and portal","Per-board fee, deadline, portal, refund rule - each with a source and a checked date",Yes,"Verified for 3 boards",B,"WebPage, BreadcrumbList",index,Tier 2,Medium,PROPOSED,"Only where real board figures exist. Show fee conflicts rather than resolving them silently."
/guides/second-annual,guide,/results/12th-class,second annual exam 12th class,"supplementary exam hssc; 2nd annual result",Post-result retry,Second Annual,-,-,"Understand eligibility, fees and timing","Owns BOTH vocabularies; compartment rules from statutory text",Yes,"VERIFIED - statutory",B,"WebPage, BreadcrumbList",index,Tier 1,"Medium vs improvement - must cross-link",PROPOSED,"Second annual and supplementary are the SAME exam. No Part-I supplementary session exists."
/guides/improvement,guide,/guides/second-annual,improvement of marks 12th class,hssc improvement exam,Post-result retry,Improvement,-,-,"Decide whether improving is worth it","Better-of-two rule; no grace marks or scholarships; must precede any higher exam",Yes,"VERIFIED with a supersession caveat",B,"WebPage, BreadcrumbList",index,Tier 2,"Medium vs second annual",PROPOSED,"CAUTION: the one-chance-within-one-year rule may be superseded by an amending policy we could not read."
/guides/lost-roll-number,guide,/results/12th-class,result without roll number,"forgot roll number; lost roll number slip",Troubleshooting,Roll Number,-,-,"Recover my roll number","WEAKEST surface in the market - only video and Q&A content exists",Yes,n/a,C,"WebPage, BreadcrumbList",index,Tier 1,"Low - must NOT be framed as name lookup",PROPOSED,"Frame strictly as recovery. Name lookup is not offered by most boards."
/guides/result-card-dmc,guide,/results/12th-class,12th class dmc,"result card; duplicate dmc",Post-result document,DMC,-,-,"Get, replace or correct my result document","Near-zero legitimate coverage; hazard-aware",Yes,Partial,C,"WebPage, BreadcrumbList",index,Tier 2,Low,PROPOSED,"HAZARD: this surface contains result-card generators and students' scanned documents. We publish guidance only."
/guides/how-percentage-is-calculated,guide,/results/12th-class,12th class percentage calculation,"marks out of 1100; hssc percentage",Computation,Percentage,-,-,"Turn my marks into a percentage","The market currently answers this with a FOREIGN formula that is wrong for Pakistan",Yes,n/a,D,"WebPage, BreadcrumbList",index,Tier 1,"Low vs the calculator - explainer vs tool",PROPOSED,"HSSC marks are out of 1100. The ranking advice applies another country's CGPA formula."
/tools/percentage-calculator,tool,/guides/how-percentage-is-calculated,hssc percentage calculator,12th class marks calculator,Computation,Percentage,-,-,"Calculate my percentage","A tool that actually performs the task, correct for Pakistan",No,n/a,D,"WebApplication",index,Tier 1,Low,PROPOSED,"Must genuinely calculate. No aggregate formula hard-coded without source and cycle metadata."
/guides/after-12th-admissions,guide,/results/12th-class,university admission after 12th,merit list after intermediate,Transition,Admission,-,-,"Know what happens next","Tethered to result, DMC and aggregate - not a careers blog",Yes,Partial,C,"WebPage, BreadcrumbList",index,Tier 3,Medium,CONDITIONAL,"Boundary rule binds. Low-authority incumbents; the higher-education regulator does not rank."
/results/12th-class/fsc,group-page,/results/12th-class,fsc part 2 result,fsc result pakistan,Group-specific,FSc,-,-,"Check result and understand my group","ONLY ships with real group content: subjects, marks distribution, grading, pathways",Yes,Verified,B,"WebPage, BreadcrumbList",index if differentiated,Tier 3,"HIGH - identical lookup and date in Punjab",CONDITIONAL,"Zero URL overlap with the generic term, but Punjab boards have no group field. Cleanest group term."
/results/12th-class/ics,group-page,/results/12th-class,ics part 2 result,ics result 2nd year,Group-specific,ICS,-,-,"Check result and understand my group","Same condition as FSc",Yes,Verified,B,"WebPage, BreadcrumbList",index if differentiated,Tier 4,HIGH,CONDITIONAL,"NEVER target the bare 'ICS result' - adding a year makes ambiguity worse."
/results/12th-class/fa,group-page,/results/12th-class,fa part 2 result,fa result intermediate,Group-specific,FA,-,-,"Check result and understand my group","Same condition as FSc",Yes,Verified,B,"WebPage, BreadcrumbList",index if differentiated,Tier 4,HIGH,CONDITIONAL,"NEVER target the bare 'FA result' - 0/10 Pakistani results."
/results/12th-class/icom,group-page,/results/12th-class,icom part 2 result,i.com result,Group-specific,ICom,-,-,"Check result and understand my group","Same condition as FSc",Yes,Verified,B,"WebPage, BreadcrumbList",index if differentiated,Tier 4,HIGH,CONDITIONAL,"Needs a Pakistan or year qualifier."
/updates,update-index,/,board notifications 12th class,hssc notification 2026,Status,Notification,-,-,"See what boards have officially announced","Source-gated: only board-published notifications, each linked",Yes,Verified,A,"WebPage",index,Tier 3,Low,CONDITIONAL,"Only if genuinely maintained. An empty or stale updates feed is worse than none."
/search,internal-search,-,-,-,Navigational,-,-,-,"Find a page","Site utility",No,n/a,D,none,NOINDEX,Tier 3,n/a,PROPOSED,"Never indexable. Already disallowed in robots."
"(none)",sms-method,-,12th class result by sms,<board> sms code,Method,SMS,-,-,"Check result by SMS","BLOCKED - zero shortcodes verified nationally",Yes,NONE,A,none,NOT BUILT,Rejected,n/a,BLOCKED,"Nine-plus circulating codes contradict each other. No board domain observed printing any."
"(none)",name-lookup,-,12th class result by name,result by student name,Method,Name,-,-,"Check result by name","REJECTED - most boards do not offer it",Yes,n/a,A,none,NOT BUILT,Rejected,n/a,REJECTED,"Where it exists it is an enumeration and privacy concern, not a feature to promote."
"(none)",position-holders,-,12th class position holders 2026,board toppers 2026,Status,Position Holders,-,2026,"See toppers","REJECTED - no official source",Yes,NONE,A,none,NOT BUILT,Rejected,n/a,REJECTED,"Publishing would mean copying an unverified competitor list."
"(none)",certificate-verification,-,ibcc certificate verification,hssc attestation equivalence,Document,Verification,-,-,"Verify or attest a certificate","REJECTED - the official body owns its own intent",Yes,n/a,C,none,NOT BUILT,Rejected,n/a,REJECTED,"Official body holds half its own first page plus its portals. Route to it instead."
"(none)",entry-test-calculator,-,mdcat aggregate calculator,ecat aggregate calculator,Transition,Entry Test,-,-,"Calculate an entry-test aggregate","REJECTED - crowded, settled formula, established tools",Yes,n/a,B,none,NOT BUILT,Rejected,n/a,REJECTED,"Weightings change by institution and cycle; maintaining them is a liability."
"(none)",personal-result-url,-,-,-,Direct lookup,Result Record,-,-,"View a specific candidate result","NEVER A URL",n/a,n/a,n/a,none,NEVER,n/a,n/a,PROHIBITED,"No /result/<roll-number> route, ever. POST-only, no-store, noindex, never in a sitemap."
